Brand,Product Name,Category,Sub-CAT,Branch,Customers,Month,Month No.,year,Sum of Volum(Kg),Number of Box,Sum of Value ($)
Kalleh,BREAKFAST YOGURT 450 gr,Yogurt,Set Yogurt-Ful Fat,Mashhad,B2C,January,1,2022,2662.1,492.9814815,4836.136403
Kalleh,BREAKFAST YOGURT 450 gr,Yogurt,Set Yogurt-Ful Fat,Mashhad,B2W,January,1,2022,0.033333333,0.00617284,0.059259259
Kalleh,BREAKFAST YOGURT 450 gr,Yogurt,Set Yogurt-Ful Fat,Mashhad,B2M,January,1,2022,210.4833333,38.97839506,406.7601975
Kalleh,BREAKFAST YOGURT 450 gr,Yogurt,Set Yogurt-Ful Fat,Arak,B2C,January,1,2022,27.0,5.0,47.61657383
Kalleh,BREAKFAST YOGURT 450 gr,Yogurt,Set Yogurt-Ful Fat,Arak,B2M,January,1,2022,21.66666667,4.012345679,36.22335802
Kalleh,BREAKFAST YOGURT 450 gr,Yogurt,Set Yogurt-Ful Fat,Arak,B2W,January,1,2022,11.81666667,2.188271605,19.61950617
Kalleh,BREAKFAST YOGURT 450 gr,Yogurt,Set Yogurt-Ful Fat,Shiraz,B2B,January,1,2022,20.03333333,3.709876543,33.89259259
Kalleh,BREAKFAST YOGURT 450 gr,Yogurt,Set Yogurt-Ful Fat,Shiraz,B2C,January,1,2022,1351.516667,250.2808642,2381.8884
Kalleh,BREAKFAST YOGURT 450 gr,Yogurt,Set Yogurt-Ful Fat,Shiraz,B2W,January,1,2022,252.0,46.66666667,390.32
Kalleh,BREAKFAST YOGURT 450 gr,Yogurt,Set Yogurt-Ful Fat,Shiraz,B2M,January,1,2022,21.31666667,3.947530864,40.16486173
Kalleh,BREAKFAST YOGURT 700 gr,Yogurt,Set Yogurt-Ful Fat,Mashhad,B2C,January,1,2022,474.7296296,113.0308642,1007.64876
Kalleh,BREAKFAST YOGURT 700 gr,Yogurt,Set Yogurt-Ful Fat,Mashhad,B2W,January,1,2022,0.025925926,0.00617284,0.052592593
Kalleh,BREAKFAST YOGURT 700 gr,Yogurt,Set Yogurt-Ful Fat,Mashhad,B2M,January,1,2022,11.58888889,2.759259259,25.87081481
Kalleh,BREAKFAST YOGURT 700 gr,Yogurt,Set Yogurt-Ful Fat,Shiraz,B2B,January,1,2022,6.092592593,1.450617284,11.75
Kalleh,BREAKFAST YOGURT 700 gr,Yogurt,Set Yogurt-Ful Fat,Shiraz,B2C,January,1,2022,357.6740741,85.16049383,739.6214988
Kalleh,BREAKFAST YOGURT 700 gr,Yogurt,Set Yogurt-Ful Fat,Shiraz,B2M,January,1,2022,7.0,1.666666667,14.59090568
Kalleh,CREAM YOGURT 10% FAT 1500 gr,Yogurt,Set Yogurt-Ful Fat,Arak,B2B,January,1,2022,0.666666667,0.074074074,0.931851852
Kalleh,CREAM YOGURT 10% FAT 1500 gr,Yogurt,Set Yogurt-Ful Fat,Arak,B2C,January,1,2022,231.0555556,25.67283951,293.9541956
